id,course1
68f1b5165e9e310fcf920fb903117061,Моделирование временных рядов
68f1b5165e9e310fcf920fb903117061,Сбор и обработка данных с помощью краудсорсинга
f81cc449798c2d8971612dc9a749ad2a,Высокопроизводительные вычисления
ffc04c64d068f8d85e4dc44e7f297ecc,Statistical Learning Theory
ffc04c64d068f8d85e4dc44e7f297ecc,Байесовские методы машинного обучения
701078e1e897399f675e96bdda5fb149,Сбор и обработка данных с помощью краудсорсинга
701078e1e897399f675e96bdda5fb149,Принятие решений в условиях риска и неопределённости
c39a1776d2509b6383ab9a7af9cba0ca,Сбор и обработка данных с помощью краудсорсинга
c39a1776d2509b6383ab9a7af9cba0ca,Анализ неструктурированных данных
c154bbf18efdd4d760e52155eaa87929,Сбор и обработка данных с помощью краудсорсинга
e6f5eb76b34e7ab7bac753e6cb0a2279,Теория баз данных
c93289511bf5625a199d4ae9b889a06a,Statistical Learning Theory
c93289511bf5625a199d4ae9b889a06a,Байесовские методы машинного обучения
5a6f07c1f6186408b43f0f8e729168e9,Моделирование временных рядов
6257850b5decedd464341a5b763e3b4a,Теория баз данных
7af276b31fb741aa81baa85aa5c82bd9,Высокопроизводительные вычисления
a1184a8dbbf9a7418b634339bed7e9b1,Сбор и обработка данных с помощью краудсорсинга
ba298cbd9be59b84bab33325e956f27e,Сбор и обработка данных с помощью краудсорсинга
ba298cbd9be59b84bab33325e956f27e,Байесовские методы машинного обучения
2662600c2c37e11e62f6ee0b88452f22,Сбор и обработка данных с помощью краудсорсинга
2662600c2c37e11e62f6ee0b88452f22,Statistical Learning Theory
1da702d51a0a1829bb1bc33011aec5f0,Байесовские методы машинного обучения
1da702d51a0a1829bb1bc33011aec5f0,Statistical Learning Theory
f98ac9a12b43a53c0fa44491cb56890c,Байесовские методы машинного обучения
f98ac9a12b43a53c0fa44491cb56890c,Анализ неструктурированных данных
57c331c5a1b473501d86dfd23421bb5c,Принятие решений в условиях риска и неопределённости
906692ccd33f59058380aac1598c5480,Байесовские методы машинного обучения
906692ccd33f59058380aac1598c5480,Анализ неструктурированных данных
4d7035f3a6d0c55c4fbcf4031679545a,Язык SQL
8c191b9ac692c190f54e66167b0adc3e,Statistical Learning Theory
6ef08b5cfd42ecdd713466cb4b7b41b7,Высокопроизводительные вычисления
e8b314842f176be9051d14a07cb156cb,Язык SQL
2d23e58ee8e952b48da12adcb71f2db0,Анализ неструктурированных данных
2d23e58ee8e952b48da12adcb71f2db0,Глубинное обучение в обработке звука
bc4974fa622838af7586a7b67d1f3a28,Высокопроизводительные вычисления
47e2d8bbb630bc2d9b3fbf98fe77cffb,Сбор и обработка данных с помощью краудсорсинга
6338b6eeb16faedc58d30d2f45c89a4c,Моделирование временных рядов
6338b6eeb16faedc58d30d2f45c89a4c,Сбор и обработка данных с помощью краудсорсинга
573e2218c3fe3ffc1894edc12432d315,Statistical Learning Theory
573e2218c3fe3ffc1894edc12432d315,Анализ неструктурированных данных
2826fc94cd575c8f7b0a2416506e70e5,Высокопроизводительные вычисления
42df9e301b39e4295fe849aa2abdfc7c,Высокопроизводительные вычисления
1b7e1b30238f393811a2b48c6f6a060f,Высокопроизводительные вычисления
d82c2df25b8b36cd655077b4a885e1f7,Теория баз данных
71c8f779c794a59d749092a11a350557,Глубинное обучение в обработке звука
f941beb89ecc5c59076bcfa79691116c,Теория баз данных
f941beb89ecc5c59076bcfa79691116c,Принятие решений в условиях риска и неопределённости
eb1d7205d913319ef3d48e0719839849,Байесовские методы машинного обучения
bbc73542db4946bde4d115b4dd944427,Высокопроизводительные вычисления
3da8ee30604398faa671135cebe8f982,Statistical Learning Theory
ddea5295ac96e74f05982e47c7ab4ff4,Моделирование временных рядов
276e2ccf4903d4ddf856b20a2b08394e,Байесовские методы машинного обучения
276e2ccf4903d4ddf856b20a2b08394e,Statistical Learning Theory
39cd1820459fdbcc193f9bb0ddb74a58,Сбор и обработка данных с помощью краудсорсинга
fa61e55c68763160d0fffe57dab37af9,Анализ неструктурированных данных
f0db08ec702a03450390efdca4166cc2,Язык SQL
3e88c8d53bcd73595d2bbcdd8c51c1bf,Сбор и обработка данных с помощью краудсорсинга
3e88c8d53bcd73595d2bbcdd8c51c1bf,Байесовские методы машинного обучения
c98c2ee69047bd8febea3ac2d1380bf9,Теория баз данных
75be5480aae801322ab8ee4b8f4517a3,Анализ неструктурированных данных
75be5480aae801322ab8ee4b8f4517a3,Глубинное обучение в обработке звука
d3b992fe1016d7951d335db002d43dec,Матричные вычисления
9fa4bc4eb50e574e88b670a86781860b,Язык SQL
d7118b44c7e8fdbbaaca226d2da6fef1,Statistical Learning Theory
ac3d08a6cc42a50f0ca53017b3ba5ba9,Матричные вычисления
5ac46b96ef57b09c77dc50a6da3f39a5,Анализ неструктурированных данных
